   1249.78  1.8685E-76  7.4740E-76
   1250.62  1.9395E-76  7.7578E-76
   1251.45  2.0117E-76  8.0468E-76
   1252.29  2.0852E-76  8.3406E-76
   1253.12  2.1594E-76  8.6374E-76
   1253.96  2.2345E-76  8.9380E-76
   1254.79  2.3104E-76  9.2417E-76
   1255.63  2.3866E-76  9.5463E-76
   1256.47  2.4627E-76  9.8509E-76
   1257.31  2.5390E-76  1.0156E-75
   1258.14  2.6149E-76  1.0460E-75
   1258.98  2.6902E-76  1.0761E-75
   1259.82  2.7641E-76  1.1056E-75
   1260.66  2.8372E-76  1.1349E-75
   1261.50  2.9074E-76  1.1630E-75
   1262.34  2.9756E-76  1.1903E-75
   1263.19  3.0413E-76  1.2165E-75
   1264.03  3.1031E-76  1.2412E-75
   1264.87  3.1602E-76  1.2641E-75
   1265.71  3.2133E-76  1.2853E-75
   1266.56  3.2604E-76  1.3041E-75
   1267.40  3.3015E-76  1.3206E-75
   1268.25  3.3347E-76  1.3339E-75
   1269.09  3.3588E-76  1.3435E-75
   1269.94  3.3745E-76  1.3498E-75
   1270.79  3.3785E-76  1.3514E-75
   1271.64  3.3724E-76  1.3490E-75
   1272.48  3.3514E-76  1.3406E-75
   1273.33  3.3160E-76  1.3264E-75
   1274.18  3.2650E-76  1.3060E-75
   1275.03  3.1945E-76  1.2778E-75
   1275.88  3.1038E-76  1.2415E-75
   1276.73  2.9915E-76  1.1966E-75
   1277.58  2.8554E-76  1.1422E-75
   1278.44  2.6922E-76  1.0769E-75
   1279.29  2.5179E-76  1.0072E-75
   1280.14  2.4306E-76  9.7225E-76
   1280.99  2.3229E-76  9.2917E-76
   1281.85  2.1916E-76  8.7662E-76
   1282.70  2.0357E-76  8.1428E-76
   1283.56  1.8503E-76  7.4014E-76
   1284.41  1.6363E-76  6.5451E-76
   1285.27  1.3866E-76  5.5462E-76
   1286.13  1.1011E-76  4.4045E-76
   1286.99  7.7446E-77  3.0978E-76
   1287.84  4.0243E-77  1.6097E-76
   1288.70  1.0000E-99  4.0000E-99
   1289.56  1.0000E-99  4.0000E-99
   1290.42  1.0000E-99  4.0000E-99
   1291.28  1.0000E-99  4.0000E-99
   1292.14  1.0000E-99  4.0000E-99
   1293.01  1.0000E-99  4.0000E-99
   1293.87  1.0000E-99  4.0000E-99
   1294.73  1.0000E-99  4.0000E-99
   1295.59  1.0000E-99  4.0000E-99
   1296.46  1.0000E-99  4.0000E-99
   1297.32  1.0000E-99  4.0000E-99
   1298.19  1.0000E-99  4.0000E-99
   1299.05  1.0000E-99  4.0000E-99
   1299.92  1.0000E-99  4.0000E-99
   1300.79  1.0000E-99  4.0000E-99
   1301.65  1.0000E-99  4.0000E-99
   1302.52  1.0000E-99  4.0000E-99
   1303.39  1.0000E-99  4.0000E-99
   1304.26  1.0000E-99  4.0000E-99
   1305.13  1.0000E-99  4.0000E-99
   1306.00  1.0000E-99  4.0000E-99
   1306.87  1.0000E-99  4.0000E-99
   1307.74  1.0000E-99  4.0000E-99
   1308.62  1.0000E-99  4.0000E-99
   1309.49  1.0000E-99  4.0000E-99
   1310.36  1.0000E-99  4.0000E-99
   1311.23  1.0000E-99  4.0000E-99
   1312.11  1.0000E-99  4.0000E-99
   1312.98  1.0000E-99  4.0000E-99
   1313.86  1.0000E-99  4.0000E-99
   1314.74  1.0000E-99  4.0000E-99
   1315.61  1.0000E-99  4.0000E-99
   1316.49  1.0000E-99  4.0000E-99
   1317.37  1.0000E-99  4.0000E-99
   1318.25  1.0000E-99  4.0000E-99
   1319.13  1.0000E-99  4.0000E-99
   1320.01  1.0000E-99  4.0000E-99
   1320.89  1.0000E-99  4.0000E-99
   1321.77  1.0000E-99  4.0000E-99
   1322.65  1.0000E-99  4.0000E-99
   1323.53  1.0000E-99  4.0000E-99
   1324.41  1.0000E-99  4.0000E-99
   1325.30  1.0000E-99  4.0000E-99
   1326.18  1.0000E-99  4.0000E-99
   1327.06  1.0000E-99  4.0000E-99
   1327.95  1.0000E-99  4.0000E-99
   1328.83  1.0000E-99  4.0000E-99
   1329.72  1.0000E-99  4.0000E-99
   1330.61  1.0000E-99  4.0000E-99
   1331.49  1.0000E-99  4.0000E-99
   1332.38  1.0000E-99  4.0000E-99
   1333.27  1.0000E-99  4.0000E-99
   1334.16  1.0000E-99  4.0000E-99
   1335.05  1.0000E-99  4.0000E-99
   1335.94  1.0000E-99  4.0000E-99
   1336.83  1.0000E-99  4.0000E-99
   1337.72  1.0000E-99  4.0000E-99
   1338.61  1.0000E-99  4.0000E-99
   1339.51  1.0000E-99  4.0000E-99
   1340.40  1.0000E-99  4.0000E-99
   1341.29  1.0000E-99  4.0000E-99
   1342.19  1.0000E-99  4.0000E-99
   1343.08  1.0000E-99  4.0000E-99
   1343.98  1.0000E-99  4.0000E-99
   1344.88  1.0000E-99  4.0000E-99
   1345.77  1.0000E-99  4.0000E-99
   1346.67  1.0000E-99  4.0000E-99
   1347.57  1.0000E-99  4.0000E-99
   1348.47  1.0000E-99  4.0000E-99
   1349.37  1.0000E-99  4.0000E-99
   1350.27  1.0000E-99  4.0000E-99
   1351.17  1.0000E-99  4.0000E-99
   1352.07  1.0000E-99  4.0000E-99
   1352.97  1.0000E-99  4.0000E-99
   1353.87  1.0000E-99  4.0000E-99
   1354.77  1.0000E-99  4.0000E-99
   1355.68  1.0000E-99  4.0000E-99
   1356.58  1.0000E-99  4.0000E-99
   1357.49  1.0000E-99  4.0000E-99
   1358.39  1.0000E-99  4.0000E-99
   1359.30  1.0000E-99  4.0000E-99
   1360.20  1.0000E-99  4.0000E-99
   1361.11  1.0000E-99  4.0000E-99
   1362.02  1.0000E-99  4.0000E-99
   1362.93  1.0000E-99  4.0000E-99
   1363.84  1.0000E-99  4.0000E-99
   1364.75  1.0000E-99  4.0000E-99
   1365.66  1.0000E-99  4.0000E-99
   1366.57  1.0000E-99  4.0000E-99
   1367.48  1.0000E-99  4.0000E-99
   1368.39  1.0000E-99  4.0000E-99
   1369.30  1.0000E-99  4.0000E-99
   1370.22  1.0000E-99  4.0000E-99
   1371.13  1.0000E-99  4.0000E-99
   1372.04  1.0000E-99  4.0000E-99
   1372.96  1.0000E-99  4.0000E-99
   1373.87  1.0000E-99  4.0000E-99
   1374.79  1.0000E-99  4.0000E-99
   1375.71  1.0000E-99  4.0000E-99
   1376.62  1.0000E-99  4.0000E-99
   1377.54  1.0000E-99  4.0000E-99
   1378.46  1.0000E-99  4.0000E-99
   1379.38  1.0000E-99  4.0000E-99
   1380.30  1.0000E-99  4.0000E-99
   1381.22  1.0000E-99  4.0000E-99
   1382.14  1.0000E-99  4.0000E-99
   1383.06  1.0000E-99  4.0000E-99
   1383.99  1.0000E-99  4.0000E-99
   1384.91  1.0000E-99  4.0000E-99
   1385.83  1.0000E-99  4.0000E-99
   1386.76  1.0000E-99  4.0000E-99
   1387.68  1.0000E-99  4.0000E-99
   1388.61  1.0000E-99  4.0000E-99
   1389.53  1.0000E-99  4.0000E-99
   1390.46  1.0000E-99  4.0000E-99
   1391.39  1.0000E-99  4.0000E-99
   1392.31  1.0000E-99  4.0000E-99
   1393.24  1.0000E-99  4.0000E-99
   1394.17  1.0000E-99  4.0000E-99
